news agency,title,link
Aljazeera,Se­nior Pak­istani Tal­iban leader killed in Afghanistan: Of­fi­cial,https://www.aljazeera.com/news/2022/1/11/senior-pakistani-taliban-leader-killed-in-afghanistan
Gulf News,Man threatened to blow up Shah Rukh Khan’s home,https://gulfnews.com/entertainment/bollywood/man-who-threatened-to-blow-up-bollywood-star-shah-rukh-khans-home-arrested-by-police-1.84883051
Gulf News,See: Pakistani stars' jaw-dropping transformations,https://gulfnews.com/photos/entertainment/from-maya-ali-to-minal-khan-most-jaw-dropping-weight-loss-transformations-in-pakistan-entertainment-1.1597763004775
Gulf News,Farah Khan recalls choreographing for Shakira in 2006,https://gulfnews.com/entertainment/bollywood/bollywood-farah-khan-recalls-choreographing-for-shakira-in-2006-1.84895966
Gulf News,Photos: Tragedy at Pakistan resort as tourists killed,https://gulfnews.com/photos/news/photos-tragedy-at-pakistan-resort-as-cold-kills-22-stuck-in-cars-in-heavy-snow-1.1641655594044
Gulf News,"Heavy snowfall hits Kashmir; highway, airport closed",https://gulfnews.com/photos/news/pictures-heavy-snowfall-hits-kashmir-highway-airport-closed-1.1641626692376
The Diplomat,"January 11, 2022Taliban-Pakistan Ties Run Into Trouble",https://thediplomat.com/2022/01/taliban-pakistan-ties-run-into-trouble/
Gulf News,"Pakistan reports 2,000 new COVID-19 cases",https://gulfnews.com/world/asia/pakistan/pakistan-reports-2000-new-covid-19-cases-for-first-time-since-september-1.84918896
Gulf News,Pakistan Pavilion to showcase Pakhtun tribal culture,https://gulfnews.com/uae/enjoy-tribal-culture-of-khyber-pakhtunkhwa-province-at-expo-2020-pakistan-pavilion-in-dubai-1.84745214
Toronto Star,AsiaPakistan sentences 4 to death over attack near militant home2 hrs ago,https://www.thestar.com/news/world/asia/2022/01/12/pakistan-sentences-4-to-death-over-attack-near-militant-home.html
Aljazeera,Pak­istan wel­comes P5 state­ment on pre­vent­ing nu­clear war,https://www.aljazeera.com/news/2022/1/13/pakistan-welcomes-p5-statement-on-preventing-nuclear-war
Gulf News,Pak committee recommends complete ban on crypto,https://gulfnews.com/world/asia/pakistan/pakistan-committee-recommends-complete-ban-on-cryptocurrency-1.84942998
Gulf News,How to make Kadhi Pakora,https://gulfnews.com/food/guide-cooking/kadhi-pakora--an-ode-to-punjabi-cuisine-1.1622096470708
Gulf News,Pakistani stars get down to business,https://gulfnews.com/entertainment/pakistani-cinema/from-humayun-saeed-to-maya-ali-pakistani-stars-get-down-to-business-1.1623854849580
Modern Diplomacy,South Asia19 hours ago,https://moderndiplomacy.eu/2022/01/13/major-challenges-for-pakistan-in-2022/
Toronto Star,AsiaPakistan Taliban confirm ex-spokesman’s death in Afghanistan8 hrs ago,https://www.thestar.com/news/world/asia/2022/01/13/pakistan-taliban-confirm-ex-spokesmans-death-in-afghanistan.html
